Methods,value,Decision
X_IONRAD,-0.21696768787003864,Accepted
X_IONRAD,-0.22206370882402746,Accepted
X_IONRAD,-0.17644900404021135,Accepted
X_IONRAD,-0.18764764162561792,Accepted
X_IONRAD,-0.15370417229413685,Accepted
X_IONRAD,-0.1355359540333167,Accepted
X_IONRAD,-0.18030855472695775,Accepted
X_IONRAD,-0.19382237066940705,Accepted
X_IONRAD,-0.1546255552436411,Accepted
X_IONRAD,-0.16783219341795888,Accepted
X_IONRAD,-0.18946015285668796,Accepted
X_IONRAD,-0.17230668285164585,Accepted
X_IONRAD,-0.20256277287961547,Accepted
X_IONRAD,-0.16663751326083046,Accepted
X_IONRAD,-0.1753244301442287,Accepted
X_IONRAD,-0.19217410788440947,Accepted
X_IONRAD,-0.14070917693903381,Accepted
X_IONRAD,-0.1785175971617538,Accepted
X_IONRAD,-0.21067614540772334,Accepted
X_IONRAD,-0.1535457941007302,Accepted
X_IONRAD,-0.19976768562654026,Accepted
X_IONRAD,-0.16878323331957112,Accepted
X_IONRAD,-0.17961152164306468,Accepted
X_IONRAD,-0.1945142608630899,Accepted
X_IONRAD,-0.16392799650749978,Accepted
X_IONRAD,-0.18012198247793706,Accepted
X_IONRAD,-0.2010078552094594,Accepted
X_IONRAD,-0.17126773592100866,Accepted
X_IONRAD,-0.16746474783573317,Accepted
X_IONRAD,-0.17684805879317023,Accepted
X_IONRAD,-0.17892793705326732,Accepted
X_IONRAD,-0.20294787029609226,Accepted
X_IONRAD,-0.18035273438245156,Accepted
X_IONRAD,-0.15731941973759472,Accepted
X_IONRAD,-0.17521848167461565,Accepted
X_IONRAD,-0.19627980087457086,Accepted
X_IONRAD,-0.15227524805145318,Accepted
X_IONRAD,-0.12450552030909388,Accepted
X_IONRAD,-0.18776442238274615,Accepted
X_IONRAD,-0.1479521408260435,Accepted
X_IONRAD,-0.16521174008479067,Accepted
X_IONRAD,-0.15289770525185842,Accepted
X_IONRAD,-0.16760791392990226,Accepted
X_IONRAD,-0.18429780664721226,Accepted
X_IONRAD,-0.13010772282451832,Accepted
X_IONRAD,-0.19250061836969037,Accepted
X_IONRAD,-0.1748567005872392,Accepted
X_IONRAD,-0.16399775418933552,Accepted
